PostalCode,Latitude,Longitude
1,-12.0464,-77.0428
2,-11.734,-77.1469
3,-12.0148,-76.885
4,-12.1412,-77.0221
5,-12.0571,-77.0517
6,-11.8819,-77.0234
7,-11.9151,-77.0478
8,-11.9948,-76.7683
9,-12.1849,-77.0075
10,-12.0326,-76.9912
11,-12.0825,-77.0506
12,-12.082,-76.9282
13,-12.0734,-77.0163
14,-12.0848,-77.0356
15,-12.0097,-76.9054
16,-12.2608,-76.884
17,-12.0904,-77.07
18,-12.1111,-77.0316
19,-12.2095,-76.8539
20,-12.4826,-76.7734
21,-12.0752,-77.0693
22,-11.8648,-77.0744
23,-12.3649,-76.7945
24,-12.3027,-76.7831
25,-12.0252,-77.0332
26,-12.3849,-76.7705
27,-12.0998,-77.0363
28,-11.9929,-77.0518
29,-12.1551,-76.9723
30,-12.0785,-76.9991
31,-11.9816,-77.0969
32,-12.0774,-77.0934
33,-12.1416,-76.9918
34,-12.1122,-77.0122
35,-12.1675,-76.9201
36,-11.9689,-76.994
37,-12.40693,-76.77475
38,-11.8062,-77.1611
39,-11.9593,-77.076
40,-12.0948,-76.7567
41,-12.0954,-76.9947
42,-12.21606,-76.94177
43,-12.0433,-76.9704
